,0,1,2,3,4,5,6
0,labrov,Support,20,Greece,Europe,EUW,"['school phobia', 'Amelda']"
1,Evrot,Mid,MISSING,Brazil,Brazil,BR,['mid gap sorry']
2,knight,Mid,21,China,China,KR,"['2639443464873088', 'knightt', 'xbtb']"
3,Razork,Jungle,21,Spain,Europe,EUW,"['Razørk Activoo', 'ArribaSBuyakote']"
4,MagiFelix,Mid,22,Sweden,Europe,EUW,"['MagiFelix5', 'MagiFelix']"
5,Bo,Jungle,19,China,China,KR,['wu guan feng yue']
6,Grevthar,Mid,MISSING,Brazil,Brazil,BR,['Grevzin']
7,Hyoga,Jungle,MISSING,Brazil,Brazil,BR,['Twitch Hyogatm']
8,Ackerman,Support,MISSING,Argentina,Liga Latinoamérica,NA,['ACKÈRMAN']
9,ON,Support,MISSING,China,China,MISSING,[]
10,Revenge,Top,22,United States,North America,NA,['Revenge']
11,Zeus,Top,18,South Korea,Korea,KR,"['T1 Zeus', '우 제']"
12,Canyon,Jungle,20,South Korea,Korea,KR,"['JUGKlNG', '만족 금지']"
13,Ablazeolive,Mid,23,Canada,North America,NA,['Ablazeolive']
14,Kirei,Jungle,25,Netherlands,Europe,EUW,"['Kirei sama', 'kirei smurfer', 'YourDoggie']"
15,Chieftain,Jungle,21,South Korea,Korea,KR,['61110002']
16,Closer,Jungle,MISSING,Turkey,Turkey,NA,['Kral Closer']
17,Gumayusi,ADC,20,South Korea,Korea,KR,['T1 Gumayusi']
18,Malrang,Jungle,22,South Korea,Korea,EUW,['RGE Malrang']
19,Bwipo,Top,23,Belgium,Europe,NA,['I will trade']
20,k1ng,ADC,24,Australia,Oceania,NA,['KARUTA DOT XYZ']
21,caPs,Mid,22,Denmark,Europe,EUW,['CaÞs']
22,TitaN,ADC,21,Brazil,Brazil,BR,['TitaN']
23,Sertuss,Mid,20,Germany,Europe,EUW,"['SRTSS', 'Sertuss']"
24,Agurin,Jungle,MISSING,Germany,Europe,EUW,"['Agurin', 'Charlie Heaton']"
25,Josedeodo,Jungle,21,Argentina,Liga Latinoamérica,NA,['Josedeodo']
26,Enga,Mid,MISSING,Argentina,Liga Latinoamérica,BR,['PUNGATORO']
27,Tactical,ADC,21,United States,North America,NA,"['TSM Tactical', '2858935426598144', 'Tactical']"
28,Keduii,ADC,21,Germany,Europe,EUW,"['1keduii1', '202220222', 'keduii1234']"
29,Cryin,Mid,21,China,China,MISSING,[]
30,ShowMaker,Mid,21,South Korea,Korea,KR,"['MIDKlNG', 'DK ShowMaker', '덕우빌딩']"
31,RedBert,Support,MISSING,Brazil,Brazil,BR,['RedBert']
32,Mikyx,Support,MISSING,Slovenia,Europe,EUW,"['BurnsTaichou', 'Hand Dipper Kano']"
33,Nisqy,Mid,23,Belgium,Europe,EUW,['NISQY LFT']
34,Johnsun,ADC,23,Canada,North America,NA,"['FLY Johnsun', 'FLY Bojji']"
35,Targamas,Support,21,Belgium,Europe,EUW,"['Targamas', 'Grizzly Hills']"
36,Send0o,Top,26,Spain,Europe,EUW,"['twitchtvSend0o', 'llamame papi']"
37,Bean,ADC,MISSING,Germany,Europe,EUW,"['Beanovich', 'bean3']"
38,noway4u,Mid,29,Germany,Europe,EUW,['Don Noway']
39,Shernfire,Jungle,23,Malaysia,Oceania,MISSING,[]
40,Ceos,Support,23,Brazil,Brazil,BR,['LOUD Ceos']
41,Kellin,Support,21,South Korea,Korea,KR,"['댕청잇', '참새크면비둘기']"
42,Kael,Support,18,South Korea,Korea,KR,['LSB Kael']
43,Insanity,Mid,22,United States,North America,MISSING,[]
44,Breezyyy,Support,MISSING,United States,North America,NA,['Breezyyy']
45,Seaz,Support,MISSING,Austria,Europe,EUW,"['David Sabater', 'seaz test acc', 'blq', 'Seaz']"
46,Doinb,Mid,25,South Korea,China,KR,"['ssr89mid', 'Heart']"
47,Ruby,Mid,23,South Korea,Korea,MISSING,[]
48,Destiny,Support,24,Australia,North America,NA,['IMT Destiny']
49,Skeanz,Jungle,21,France,Europe,EUW,"['V Skeanz', 'Skeanz good kid', 'Shëun']"
50,Zuao,Jungle,24,Brazil,Brazil,BR,"['Zuao AK47', 'ZUAO515']"
51,Kaori,ADC,20,Turkey,Turkey,EUW,['Kaor1']
52,Hoya,Top,21,South Korea,Korea,KR,"['용호야', '어쩌라고맞짱뜰까']"
53,Bdd,Mid,23,South Korea,Korea,KR,"['2633833594406176', '쩜점점점쩜점']"
54,Kabbie,Support,20,South Korea,Korea,KR,"['다없수질', 'snzll']"
55,Reeker,Mid,MISSING,Germany,Europe,EUW,"['reeker qwe', 'rkr']"
56,Advienne,Support,MISSING,Netherlands,Europe,EUW,"['MUST GO', 'Advienne LFT']"
57,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
58,Comp,ADC,20,Greece,Europe,EUW,"['Chαndler Bing', 'zhavm']"
59,Cariok,Jungle,22,Brazil,Brazil,BR,['paiN caca1']
60,Humanoid,Mid,22,Czech Republic,Europe,EUW,['Jonah Falcon']
61,SMILEY,ADC,23,Sweden,Europe,EUW,"['XDSMILEYs6XDs6XD', 'need farm1']"
62,Ayel,Top,23,Brazil,Brazil,BR,['paradigm shift']
63,Morgan,Top,20,South Korea,Korea,KR,"['무한거리', 'BRO Morgan']"
64,Ruler,ADC,23,South Korea,Korea,KR,['Gen G Ruler']
65,Mireu,Mid,20,South Korea,Korea,KR,['KING MIR']
66,Keaiduo,Mid,20,China,China,NA,['Bot0511']
67,micaO,ADC,25,Brazil,Brazil,BR,['micaOxD']
68,BBD,ADC,22,China,China,MISSING,[]
69,Rich,Top,24,South Korea,Korea,KR,['86 zhendewudi']
70,XLB,Jungle,22,China,China,KR,['2639440437667808']
71,Flakked,ADC,MISSING,Spain,Europe,EUW,['nikitoufan69']
72,Spica,Jungle,MISSING,China,North America,NA,"['ASTROBOY99', 'TSM Spica']"
73,Minerva,Jungle,MISSING,Brazil,Brazil,BR,"['Minerva', 'Myrtle Snow']"
74,Avenger,Mid,20,Brazil,Brazil,BR,['Avengerr']
75,GIDEON,Jungle,18,South Korea,Korea,KR,['07정글프로지망']
76,JoJo,Support,23,Brazil,Brazil,BR,['v J o J o']
77,Lekcyc,Support,25,Russian Federation,Russia,EUW,"['UOL Lekcyc', 'Lekcyc']"
78,Donbray,Support,18,United States,North America,NA,"['donb', 'donbray1']"
79,Trymbi,Support,21,Poland,Europe,EUW,"['lts a process', 'Zadymiarz Adi', 'AdiTheGoodGuy']"
80,Disave,ADC,MISSING,Brazil,Brazil,BR,['Disave']
81,Elramir,Jungle,MISSING,Turkey,Turkey,EUW,"['eIramir', '1233121213']"
82,AHaHaCiK,Jungle,MISSING,Russian Federation,Russia,EUW,['AHaHaCiK']
83,yimeng,Mid,21,China,China,KR,['LinaBell']
84,Allorim,Top,26,United States,North America,NA,['Allorim']
85,Jankos,Jungle,26,Poland,Europe,EUW,['G2 BOOMER']
86,Koldo,Jungle,MISSING,Spain,Europe,EUW,"['Aítana Øcaña', 'Ðamøn Salvatore']"
87,Jenax,Top,23,Germany,Europe,EUW,"['I WILL BE KING', 'SK JX']"
88,Phlaty,Mid,MISSING,Russian Federation,Russia,EUW,"['424424424', 'phlaty']"
89,Carzzy,ADC,20,Czech Republic,Europe,EUW,['bob kong']
90,Pyrka,Support,21,Poland,Europe,EUW,"['jambojet420', 'Adlionix']"
91,Finn,Top,22,Sweden,Europe,EUW,"['FINNNNNNN', 'FINNNNN']"
92,Ellam,ADC,21,Sweden,Turkey,EUW,['Fındık']
93,Vizicsacsi,Top,28,Hungary,Europe,EUW,['Vizícsacsi']
94,Thebausffs,Top,22,Sweden,Europe,EUW,['Thebausffs']
95,Giyuu,Mid,20,Lebanon,Turkey,EUW,['RAAD Giyuu']
96,Serin,Mid,MISSING,Turkey,Turkey,EUW,['Caster minion13']
97,Froggen,Mid,28,Denmark,Europe,NA,"['Froggen', 'Froggen']"
98,Xico,Mid,23,Portugal,Europe,EUW,['BDS Xico']
99,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
100,Lurox,Jungle,22,Germany,Europe,EUW,"['Luroxx', 'Lurox']"
101,Angel,Mid,21,China,China,KR,['2639442631189952']
102,SaNTaS,Support,25,Russian Federation,Russia,EUW,['SaNTaS']
103,Deadly,ADC,22,United Kingdom,Europe,EUW,"['Deádly', 'Robính00D']"
104,Ragner,Top,21,Turkey,Turkey,EUW,"['Ragner Lôthbrok', 'LDLC Ragner']"
105,Adam,Top,20,France,Europe,EUW,"['LEC TOPKlNG', 'Adam 20ans LEC', 'Nothing much', 'Thats my toplane']"
106,JunJia,Jungle,19,Taiwan,PCS,KR,['2639447965795648']
107,Tarzan,Jungle,22,South Korea,Korea,KR,"['타 잔', 'Tar2an', 'axczsdasd']"
108,xiaohuangren,Jungle,MISSING,China,China,KR,"['nodfan', '143167947547', 'xhr']"
109,Patrik,ADC,MISSING,Czech Republic,Europe,EUW,"['John Popper', 'diamond 1 dog']"
110,Cuzz,Jungle,22,South Korea,Korea,KR,"['우찬굳', '왁컬로이두', 'Cuzz']"
111,xiao7,Top,MISSING,China,China,MISSING,[]
112,Delight,Support,19,South Korea,Korea,KR,['BRO Delight']
113,Chovy,Mid,21,South Korea,Korea,KR,"['enlrh', '95500174del']"
114,UNF0RGIVEN,ADC,21,Sweden,Europe,EUW,"['MAD AD', 'Unforgiven5']"
115,Viper,ADC,21,South Korea,Korea,KR,['viper3']
116,Taeyoon,ADC,19,South Korea,Korea,KR,['디알엑스 태윤']
117,ShiauC,Support,MISSING,Taiwan,PCS,KR,['2639433795593760']
118,Mark,Support,22,China,China,KR,['TES 77']
119,Kami,None,26,Brazil,Brazil,BR,['Kami']
120,Jojopyun,Mid,MISSING,Canada,North America,MISSING,[]
121,UmTi,Jungle,MISSING,South Korea,Korea,KR,"['헤나의 룩북', 'See u AG']"
122,Parus,Support,MISSING,Turkey,Turkey,EUW,"['PARUS 3', 'PARUS 2']"
123,chenlun17,Top,MISSING,China,China,KR,['어떡해 1997']
124,Odoamne,Top,26,Romania,Europe,EUW,"['OBOOPXKU', 'Odoamne']"
125,Karsa,Jungle,25,Taiwan,PCS,KR,"['baiye', '2639443678405856']"
126,Shikari,Top,MISSING,United Kingdom,Europe,EUW,['zxvnmtzx']
127,Smoothie,Support,25,Canada,North America,NA,['Smoothie']
128,Nomanz,Mid,23,Russian Federation,Russia,EUW,['huge performanz']
129,Eckas,Jungle,20,Lithuania,Europe,EUW,"['SK Eckas', 'Eckas']"
130,Keine,Mid,22,South Korea,Korea,MISSING,[]
131,Stunt,None,26,United States,North America,NA,"['5tunt', 'hygge 1', 'stuntopolis', 'teamatesrfriends']"
132,Creme,Mid,MISSING,China,China,MISSING,[]
133,Edward,Support,27,Armenia,Europe,EUW,"['100 ping gaming', 'Edwardovich']"
134,Ke,Support,MISSING,China,China,KR,['2654323295274112']
135,Innaxe,ADC,23,Bulgaria,Europe,EUW,"['EDG Innaxe', 'motus vetiti', 'Uzi Trainee']"
136,YoungJae,Jungle,19,South Korea,Korea,KR,"['Night 9 19', '나이트퓨리의선물']"
137,Umut,Mid,22,Turkey,Turkey,EUW,['111111q']
138,Kofte,Mid,MISSING,Turkey,Turkey,EUW,"['yüzenköfte', 'indoor fish', 'manjushage']"
